Brand,Scarpe,Categoria,Prezzo reale,Prezzo scontato,In sconto,Dettaglio/Colore,Macro_categoria,Micro_categoria
C,Wallabee,Stringate sportive,118.98,100.95,True,grün,Sneakers,Sneakers basse
NG,Blu,Sneakers basse,175.0,175.0,False,,Sneakers,Sneakers basse
C,Torhill,Stringate sportive,150.0,150.0,False,wine,Sneakers,Sneakers basse
G,Light Brown,Stivaletti,109.9,81.95,True,,Stivali & Stivaletti,Stivaletti
G,Spherica Actif X 4,Sneakers basse,135.59,116.39,True,navy,Sneakers,Sneakers basse
C,Nero,Stringate sportive,119.77,119.77,False,,Sneakers,Sneakers basse
G,Spherica,Stivaletti stringati,126.95,126.95,False,mud,Stivali & Stivaletti,Stivaletti
G,Grün,Sneakers basse,106.5,106.5,False,,Sneakers,Sneakers basse
C,Grey Combi,Stivaletti stringati,127.45,127.45,False,,Stivali & Stivaletti,Stivaletti
G,Dunkelgrau,Sneakers basse,99.9,99.9,False,,Sneakers,Sneakers basse
G,Pantelleria,Scarpe senza lacci,89.9,89.9,False,navy,Sneakers,Sneakers basse
G,Baltmoore,Sneakers basse,98.96,98.96,False,avio,Sneakers,Sneakers basse
G,Mottled Light Gre,Sneakers basse,110.0,110.0,False,,Sneakers,Sneakers basse
NG,Avio,Sneakers basse,189.9,169.95,True,,Sneakers,Sneakers basse
G,Ghita,Ciabattine,79.9,79.9,False,dark coffee,Ciabatte & Pantofole,Ciabatte
G,Vittour,Sneakers basse,99.9,99.9,False,weiß,Sneakers,Sneakers basse
C,Black Leather,Stivaletti stringati,177.05,112.69,True,,Stivali & Stivaletti,Stivaletti
